arm,seed,run_dir,best_epoch,test_macro_mae,test_macro_skill,test_pearson_r,test_global_mae,test_ccc,test_skill_vs_val_constant,val_constant,test_mae_val_constant,test_mae_oracle_constant,constant,winval_macro_skill
cfc,15,runs_power/cfc_s15_T16_lr0.001_k0.1_aug-full,19,12.912020095909776,0.036240150560823636,-0.014045283912561159,7.883200168609619,-1.265548188045843e-05,0.0006972112909370276,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.01123661626848349
cfc,16,runs_power/cfc_s16_T16_lr0.001_k0.1_aug-full,1,13.423076546423971,-0.0019053668829189796,0.03301031031313428,9.963180541992188,0.027220194005172237,-0.038855092097156874,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.029431617191784
cfc,17,runs_power/cfc_s17_T16_lr0.001_k0.1_aug-full,0,13.131509211558326,0.019857369595512653,0.028620297487042468,8.8333158493042,0.013208265819879553,-0.01628975772937613,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.02509258771306544
cfc,18,runs_power/cfc_s18_T16_lr0.001_k0.1_aug-full,5,12.920377949519107,0.035616316050318564,-0.012090016396432047,7.885534763336182,-8.389659066076644e-05,5.037010285124932e-05,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.01125892808796991
cfc,19,runs_power/cfc_s19_T16_lr0.001_k0.1_aug-full,7,13.994080195240647,-0.044525374172646126,0.07611911809801569,10.000090599060059,0.05802711599483971,-0.08304690208406273,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.021571187558741545
cfc,20,runs_power/cfc_s20_T16_lr0.001_k0.1_aug-full,0,13.9916223980975,-0.04434192292434913,-0.03449411619595902,9.127488136291504,-0.012033524319425391,-0.08285668525346734,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.012406572945927175
cfc,21,runs_power/cfc_s21_T16_lr0.001_k0.1_aug-full,14,12.941783052709562,0.034018628091747494,0.013246692392886197,7.89163875579834,2.3992819654447735e-05,-0.001606239719000202,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.011230641980714329
cfc,22,runs_power/cfc_s22_T16_lr0.001_k0.1_aug-full,0,13.274544483361526,0.009181143025728145,0.12217394702363034,8.199813842773438,0.010774771392309025,-0.0273597177305982,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.014204115225041614
cfc,23,runs_power/cfc_s23_T16_lr0.001_k0.1_aug-full,1,13.54927610217805,-0.011324966910599255,0.04886640481518796,9.762999534606934,0.037308812287070656,-0.048622081852605525,1.8200000524520874,12.921028783067854,12.722514843311288,False,-0.011732340734367686
cfc,24,runs_power/cfc_s24_T16_lr0.001_k0.1_aug-full,22,14.523872873460343,-0.08406937333020137,0.2225307532335497,11.605676651000977,0.2202591766901943,-0.1240492624312477,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.05477780240986552
